;name;description;price;scrap_date;supplier;type_of_product;sub_type_product;product_link
20;SOFA MONTREAL 3 CUERPOS TELA LINO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Tela de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$265.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-montreal-3-cuerpos-tela-chenille/
21;SOFA CAPITONE CHESTERFIELD 3 CUERPOS ECOCUERO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Hilos de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata de madera torneada.";$445.000 $365.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-capitone-chesterfield-pu/
22;SOFA CAPITONE CHESTERFIELD 2 CUERPOS FELPA;"Tapizado en felpa.
Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Hilos de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata de madera torneada.";$425.000 $345.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-capitone-chesterfield-2/
23;SOFA INFANTIL CHAPARROS LINO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Tela de alta resistencia lavable
Costuras reforzadas en doble punto para zonas de mayor desgaste
Pata plastica embutida que no ralla el piso";$65.000 $55.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/chesterfield-capitone-modular-derecho-lino-impermeable-copia/
24;SOFA RENATA TAPIZ LINO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Tela de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata de madera.";$325.000 $215.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-renata-tapiz-lino/
25;SOFA CAMA RENATA TAPIZ LINO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Tela de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata de madera.";$395.000 $295.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-cama-renata-tapiz-lino/
26;SOFA CHESTERFIELD BAUL CUERO BONDED;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo
Relleno en espuma de alta densidad y fibra soft
Telas de alta resistencia lavables
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Pata de madera tinturada";$445.000 $345.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-chesterfield-baul-tapiz-cuero/
27;SOFA BOSTON LINO Y PU 3 CUERPOS;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Telas de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$325.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-boston-lino-y-pu-3-cuerpos/
28;SOFA MONTREAL 2 CUERPOS FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Tela felpa de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$245.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-montreal-2-cuerpos-felpa/
29;SOFA BOSTON CUERO BONDED ENVEJECIDO 2 CUERPOS;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Telas de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$295.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-boston-cuero-bonded-envejecido-2-cuerpos/
